Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.89651045737105E-06,-3.51661274569633E-05,0.022819804533394,0,0,0,82.1772844380817,41.2297284246966,8.06934896757869E-05,4.60423099729454E-05,41.2341036600388,0.000409782496317497,82.1122087409556,0,0,0,0,0,0,package://athlete_rover/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://athlete_rover/meshes/base_link.STL,,Athlete_frame-1,base_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
coxa_1_link,-0.0020752967250691,0.0949654432786211,4.12522192794196E-09,0,0,0,3.09349733545696,0.0516743356882014,0.000635104468693699,5.77488235257917E-11,0.0226258682108944,-2.81451449627731E-11,0.0520928564501634,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_1_link.STL,,Coxa_1-1,Coxa_1_coor,Coxa_1,coxa_1_joint,revolute,-0.0251251509143729,1.14972550062679,0.106,0,0,0,base_link,0,0,1,1000,0.5,-2.094,2.094,,,,,,,,
femur_1_link,-0.250000000008996,-1.09634523681734E-14,1.00160355703816E-10,0,0,0,9.59990933168455,0.0909902906443396,-1.81716460834631E-14,8.73569183570261E-11,0.501606623877439,2.4843074816575E-17,0.475621900290096,0,0,0,0,0,0,package://athlete_rover/meshes/femur_1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/femur_1_link.STL,,Femur_1-1,Femur_1_coor,Femur_1,femur_1_joint,revolute,-0.0041729598475176,0.190954409234537,0,-1.5707963267949,0,-1.54894663097856,coxa_1_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
tibia_1_link,0.261818511880902,-6.09914559755731E-06,-9.21556681939065E-05,0,0,0,6.96014302108094,0.0635588753454974,1.46469185579545E-06,1.31637927549643E-05,0.287249190237788,2.03209016254882E-07,0.265244228247773,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_1_link.STL,,Tibia_1-1,Tibia_1_coor,Tibia_1,tibia_1_joint,revolute,-0.5,0,0,0,0,-3.14159265358975,femur_1_link,0,0,-1,1000,0.5,-1.57,1.57,,,,,,,,
pitch_1_link,-0.103835711575362,-1.06858966120171E-15,2.8272709867716E-10,0,0,0,6.33029453889401,0.0450020126784382,-1.54914091166948E-17,-1.74860722689657E-12,0.0463115920590276,1.19130119574728E-17,0.0373029491223062,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_1_link.STL,,pitch_1-1,Pitch_1_coor,Pitch_1,pitch_1_joint,revolute,0.449999999999999,0,0,0,0,3.14159265358978,tibia_1_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
roll_1_link,-1.3878E-17,-1.3878E-17,0.036219,0,0,0,2.8914,0.027037,-8.5016E-19,1.1411E-17,0.026416,-2.8221E-18,0.012233,0,0,0,0,0,0,package://athlete_rover/meshes/roll_1_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://athlete_rover/meshes/roll_1_link.STL,,roll_1-1,Roll_1_coor,Roll_1,roll_1_joint,revolute,-0.225,0,0,3.1416,1.5708,0,pitch_1_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
wheel_1_link,3.5785437113578E-10,7.8177464502005E-12,4.16333634234434E-17,0,0,0,4.70127847510141,0.014956729011549,-6.20739724327515E-18,-3.57282624309142E-19,0.014956729011549,7.6462924007719E-19,0.0216299418386296,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_1_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_1_link.STL,,Wheel_1-1,Wheel_1_coor,Wheel_1,wheel_1_joint,continuous,0,0,0.210000000000002,1.5707963267949,0.0218496955892154,-3.14159265358979,roll_1_link,0,0,-1,1000,0.5,,,,,,,,,,
coxa_2_link,-0.0841776002576038,0.0461779739081903,-2.22181904402374E-08,0,0,0,3.09350209867759,0.0294315495230902,0.012431431143693,5.79551469685196E-09,0.0452732382073039,2.22228995617047E-08,0.0516882160049569,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_2_link.STL,,Coxa_2-1,Coxa_2_coor,Coxa_2,coxa_2_joint,revolute,-1.00825406637877,0.55310373134763,0.106,0,0,0,base_link,0,0,-1,1000,0.5,-2.094,2.094,,,,,,,,
femur_2_link,-0.249999999991002,-6.93889390390723E-17,-1.11022302462516E-16,0,0,0,9.59990933168453,0.0909902906443392,-7.42070022951904E-17,3.81639164714898E-17,0.501606623877439,-2.22833013519317E-17,0.475621900290096,0,0,0,0,0,0,package://athlete_rover/meshes/femur_2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/femur_2_link.STL,,Femur_2-1,Femur_2_coor,Femur_2,femur_2_joint,revolute,-0.167457849264654,0.0918633154183783,0,1.5707963267949,0,-0.501749080009075,coxa_2_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
tibia_2_link,-0.261818628643989,6.3043057244444E-06,-9.21714200156076E-05,0,0,0,6.96014125805255,0.0635589134253886,1.44038404440838E-06,-1.31705028903872E-05,0.287249194512423,-2.0997636667745E-07,0.265244297382879,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/tibia_2_link.STL,,Tibia_2-1,Tibia_2_coor,Tibia_2,tibia_2_joint,revolute,-0.5,0,0,0,0,0,femur_2_link,0,0,-1,1000,0.5,-1.57,1.57,,,,,,,,
pitch_2_link,-0.10383571157536,-1.52655665885959E-16,0,0,0,0,6.330294538894,0.0450020126784381,-2.63911714924311E-18,5.72458747072346E-17,0.0463115920590275,-5.95799783764516E-18,0.0373029491223061,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/pitch_2_link.STL,,pitch_2-1,Pitch_2_coor,Pitch_2,pitch_2_joint,revolute,-0.45,0,0,0,0,0,tibia_2_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
roll_2_link,-3.1722E-11,6.9389E-16,0.036219,0,0,0,2.8914,0.027037,-2.5997E-18,3.3621E-12,0.026416,1.0399E-17,0.012233,0,0,0,0,0,0,package://athlete_rover/meshes/roll_2_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://athlete_rover/meshes/roll_2_link.STL,,roll_2-1,Roll_2_coor,Roll_2,roll_2_joint,revolute,-0.225,0,0,0,-1.5708,0,pitch_2_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
wheel_2_link,4.7518E-11,8.6614E-11,4.7184E-16,0,0,0,4.7013,0.014957,1.2311E-17,-1.4353E-18,0.014957,-7.4284E-19,0.02163,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_2_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://athlete_rover/meshes/wheel_2_link.STL,,Wheel_2-1,Wheel_2_coor,Wheel_2,wheel_2_joint,continuous,0,0,0.210000000000002,1.5707963267949,1.06904724701293,3.14159265358979,roll_2_link,0,0,1,1000,0.5,,,,,,,,,,
coxa_3_link,-0.0812049627524478,-0.0492800521399603,2.24711022747681E-07,0,0,0,3.0935171186438,0.0304380209744716,-0.0128959125993843,6.60459464547568E-10,0.0438622263728826,1.81434039495181E-08,0.0520928544158363,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_3_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/coxa_3_link.STL,,Coxa_3-1,Coxa_3_coor,Coxa_3,coxa_3_joint,revolute,-0.983128915464405,-0.596621769279152,0.106,0,0,0,base_link,0,0,1,1000,0.5,-2.094,2.094,,,,,,,,
femur_3_link,-0.249999999991004,1.52655665885959E-16,-1.00153774162948E-10,0,0,0,9.59990933168453,0.0909902906443396,1.39513442257537E-16,-8.73522192079701E-11,0.501606623877438,1.30494604954058E-17,0.475621900290094,0,0,0,0,0,0,package://athlete_rover/meshes/femur_3_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://athlete_rover/meshes/femur_3_link.STL,,Femur_3-1,Femur_3_coor,Femur_3,femur_3_joint,revolute,-0.163284889438,-0.0990910938541903,0,1.5707963267949,0,0.545448471414632,coxa_3_link,0,0,1,1000,0.5,-1.57,1.57,,,,,,,,
